date,sensor,ambient,avgs,avga,phase
09/05/14 15:23,47.25,32.5,47.25,32.5,Thermophillic
09/05/14 15:33,47.5,32.5,47.375,32.5,Thermophillic
09/05/14 15:43,48.0,32.5,47.75,32.5,Thermophillic
09/05/14 15:53,48.0,32.5,48.0,32.5,Thermophillic
09/05/14 16:03,48.25,32.5,48.125,32.5,Thermophillic
09/05/14 16:13,48.25,32.5,48.25,32.5,Thermophillic
09/05/14 16:23,48.25,32.5,48.25,32.5,Thermophillic
09/05/14 16:33,48.25,32.5,48.25,32.5,Thermophillic
09/05/14 16:43,48.25,32.5,48.25,32.5,Thermophillic
09/05/14 16:53,48.25,32.5,48.25,32.5,Thermophillic
09/05/14 17:03,48.0,32.5,48.125,32.5,Thermophillic
09/05/14 17:13,48.25,32.5,48.125,32.5,Thermophillic
09/05/14 17:23,48.25,33.0,48.25,32.75,Thermophillic
09/05/14 17:33,48.25,34.0,48.25,33.5,Thermophillic
09/05/14 17:43,48.0,34.0,48.125,34.0,Thermophillic
09/05/14 17:53,48.0,34.0,48.0,34.0,Thermophillic
09/05/14 18:03,47.75,34.0,47.875,34.0,Thermophillic
09/05/14 18:13,47.75,34.0,47.75,34.0,Thermophillic
09/05/14 18:23,47.75,34.0,47.75,34.0,Thermophillic
09/05/14 18:33,47.75,34.0,47.75,34.0,Thermophillic
09/05/14 18:43,47.75,34.0,47.75,34.0,Thermophillic
09/05/14 18:53,48.0,34.5,47.875,34.25,Thermophillic
09/05/14 19:03,48.0,34.75,48.0,34.625,Thermophillic
09/05/14 19:13,48.25,35.0,48.125,34.875,Thermophillic
09/05/14 19:23,48.0,35.0,48.125,35.0,Thermophillic
09/05/14 19:33,48.25,35.0,48.125,35.0,Thermophillic
09/05/14 19:43,48.25,35.0,48.25,35.0,Thermophillic
09/05/14 19:53,48.25,35.0,48.25,35.0,Thermophillic
09/05/14 20:03,48.25,35.0,48.25,35.0,Thermophillic
09/05/14 20:13,48.25,35.0,48.25,35.0,Thermophillic
09/05/14 20:23,48.25,35.0,48.25,35.0,Thermophillic
09/05/14 20:33,48.5,35.0,48.375,35.0,Thermophillic
09/05/14 20:43,48.5,34.0,48.5,34.5,Thermophillic
09/05/14 20:53,48.75,33.0,48.625,33.5,Thermophillic
09/05/14 21:03,48.75,32.5,48.75,32.75,Thermophillic
09/05/14 21:13,48.75,32.0,48.75,32.25,Thermophillic
09/05/14 21:23,49.0,31.5,48.875,31.75,Thermophillic
09/05/14 21:33,49.0,31.0,49.0,31.25,Thermophillic
09/05/14 21:43,49.25,31.0,49.125,31.0,Thermophillic
09/05/14 21:53,49.25,31.0,49.25,31.0,Thermophillic
09/05/14 22:03,49.25,31.0,49.25,31.0,Thermophillic
09/05/14 22:13,49.5,31.0,49.375,31.0,Thermophillic
09/05/14 22:23,49.5,31.0,49.5,31.0,Thermophillic
09/05/14 22:33,49.5,31.0,49.5,31.0,Thermophillic
09/05/14 22:43,49.5,31.0,49.5,31.0,Thermophillic
09/05/14 22:53,49.5,31.0,49.5,31.0,Thermophillic
09/05/14 23:03,49.5,31.0,49.5,31.0,Thermophillic
09/05/14 23:13,49.75,31.0,49.625,31.0,Thermophillic
09/05/14 23:23,49.75,31.0,49.75,31.0,Thermophillic
09/05/14 23:33,49.75,31.0,49.75,31.0,Thermophillic
09/05/14 23:43,49.75,31.0,49.75,31.0,Thermophillic
09/05/14 23:53,50.0,31.0,49.875,31.0,Thermophillic
09/06/14 00:03,50.0,31.0,50.0,31.0,Thermophillic
09/06/14 00:13,50.0,31.0,50.0,31.0,Thermophillic
09/06/14 00:23,49.75,30.5,49.875,30.75,Thermophillic
09/06/14 00:33,50.0,30.25,49.875,30.375,Thermophillic
09/06/14 00:43,50.0,30.25,50.0,30.25,Thermophillic
09/06/14 00:53,50.0,30.25,50.0,30.25,Thermophillic
09/06/14 01:03,49.75,30.25,49.875,30.25,Thermophillic
09/06/14 01:13,50.0,30.25,49.875,30.25,Thermophillic
09/06/14 01:23,50.0,30.25,50.0,30.25,Thermophillic
